symbol,name,isin,industry
IDEA,Vodafone Idea Limited,INE669E01016,Telecom - Cellular & Fixed line services
IRB,IRB Infrastructure Developers Limited,INE821I01022,Civil Construction
CGPOWER,CG Power and Industrial Solutions Limited,INE067A01029,Heavy Electrical Equipment
BDL,Bharat Dynamics Limited,INE171Z01026,Aerospace & Defense
MRPL,Mangalore Refinery and Petrochemicals Limited,INE103A01014,Refineries & Marketing
DELHIVERY,Delhivery Limited,INE148O01028,Logistics Solution Provider
LINDEINDIA,Linde India Limited,INE473A01011,Industrial Gases
LTF,L&T Finance Limited,INE498L01015,Investment Company
TATATECH,Tata Technologies Limited,INE142M01025,IT Enabled Services
KPITTECH,KPIT Technologies Limited,INE04I401011,Computers - Software & Consulting
EMAMILTD,Emami Limited,INE548C01032,Personal Care
IDFCFIRSTB,IDFC First Bank Limited,INE092T01019,Private Sector Bank
SAIL,Steel Authority of India Limited,INE114A01011,Iron & Steel
SUNTV,Sun TV Network Limited,INE424H01027,TV Broadcasting & Software Production
MSUMI,Motherson Sumi Wiring India Limited,INE0FS801015,Auto Components & Equipments
SUNDARMFIN,Sundaram Finance Limited,INE660A01013,Non Banking Financial Company (NBFC)
ABFRL,Aditya Birla Fashion and Retail Limited,INE647O01011,Speciality Retail
STARHEALTH,Star Health and Allied Insurance Company Limited,INE575P01011,General Insurance
COCHINSHIP,Cochin Shipyard Limited,INE704P01025,Ship Building & Allied Services
SUZLON,Suzlon Energy Limited,INE040H01021,Heavy Electrical Equipment
PHOENIXLTD,The Phoenix Mills Limited,INE211B01039,Residential Commercial Projects
NIACL,The New India Assurance Company Limited,INE470Y01017,General Insurance
SONACOMS,Sona BLW Precision Forgings Limited,INE073K01018,Auto Components & Equipments
KALYANKJIL,Kalyan Jewellers India Limited,INE303R01014,Gems Jewellery And Watches
YESBANK,Yes Bank Limited,INE528G01035,Private Sector Bank
GRINDWELL,Grindwell Norton Limited,INE536A01023,Abrasives & Bearings
BANKINDIA,Bank of India,INE084A01016,Public Sector Bank
INDHOTEL,The Indian Hotels Company Limited,INE053A01029,Hotels & Resorts
ABCAPITAL,Aditya Birla Capital Limited,INE674K01013,Investment Company
SCHAEFFLER,Schaeffler India Limited,INE513A01022,Auto Components & Equipments
SBICARD,SBI Cards and Payment Services Limited,INE018E01016,Non Banking Financial Company (NBFC)
SJVN,SJVN Limited,INE002L01015,Power Generation
FORTIS,Fortis Healthcare Limited,INE061F01013,Hospital
JSWINFRA,JSW Infrastructure Limited,INE880J01026,Port & Port services
SKFINDIA,SKF India Limited,INE640A01023,Abrasives & Bearings
TIMKEN,Timken India Limited,INE325A01013,Abrasives & Bearings
MARICO,Marico Limited,INE196A01026,Edible Oil
COROMANDEL,Coromandel International Limited,INE169A01031,Fertilizers
NYKAA,FSN E-Commerce Ventures Limited,INE388Y01029,E-Retail/ E-Commerce
AIAENG,AIA Engineering Limited,INE212H01026,Castings & Forgings
