symbol,name,isin,industry
PPLPHARMA,Piramal Pharma Limited,INE0DK501011,Pharmaceuticals
NCC,NCC Limited,INE868B01028,Civil Construction
RBLBANK,RBL Bank Limited,INE976G01028,Private Sector Bank
IIFL,IIFL Finance Limited,INE530B01024,Non Banking Financial Company (NBFC)
BRIGADE,Brigade Enterprises Limited,INE791I01019,Residential Commercial Projects
SWSOLAR,Sterling and Wilson Renewable Energy Limited,INE00M201021,Civil Construction
NBCC,NBCC (India) Limited,INE095N01031,Civil Construction
GODIGIT,Go Digit General Insurance Limited,INE03JT01014,General Insurance
BLUESTARCO,Blue Star Limited,INE472A01039,Household Appliances
AARTIIND,Aarti Industries Limited,INE769A01020,Specialty Chemicals
TANLA,Tanla Platforms Limited,INE483C01032,Software Products
CHENNPETRO,Chennai Petroleum Corporation Limited,INE178A01016,Refineries & Marketing
TRITURBINE,Triveni Turbine Limited,INE152M01016,Heavy Electrical Equipment
CASTROLIND,Castrol India Limited,INE172A01027,Lubricants
BLS,BLS International Services Limited,INE153T01027,Tour Travel Related Services
IFCI,IFCI Limited,INE039A01010,Financial Institution
TTML,Tata Teleservices (Maharashtra) Limited,INE517B01013,Telecom - Cellular & Fixed line services
INDIAMART,Indiamart Intermesh Limited,INE933S01016,Internet & Catalogue Retail
KEC,KEC International Limited,INE389H01022,Civil Construction
CAMS,Computer Age Management Services Limited,INE596I01012,Depositories Clearing Houses and Other Intermediaries
TEJASNET,Tejas Networks Limited,INE010J01012,Telecom - Equipment & Accessories
WELSPUNLIV,Welspun Living Limited,INE192B01031,Other Textile Products
LAURUSLABS,Laurus Labs Limited,INE947Q01028,Pharmaceuticals
NSLNISP,NMDC Steel Limited,INE0NNS01018,Iron & Steel
CREDITACC,CREDITACCESS GRAMEEN LIMITED,INE741K01010,Microfinance Institutions
FINCABLES,Finolex Cables Limited,INE235A01022,Cables - Electricals
J&KBANK,The Jammu & Kashmir Bank Limited,INE168A01041,Private Sector Bank
TRIDENT,Trident Limited,INE064C01022,Other Textile Products
AADHARHFC,Aadhar Housing Finance Limited,INE883F01010,Housing Finance Company
KAYNES,Kaynes Technology India Limited,INE918Z01012,Industrial Products
JWL,Jupiter Wagons Limited,INE209L01016,Railway Wagons
HBLPOWER,HBL Power Systems Limited,INE292B01021,Auto Components & Equipments
RAYMOND,Raymond Limited,INE301A01014,Residential Commercial Projects
MANAPPURAM,Manappuram Finance Limited,INE522D01027,Non Banking Financial Company (NBFC)
BSOFT,BIRLASOFT LIMITED,INE836A01035,Computers - Software & Consulting
AMBER,Amber Enterprises India Limited,INE371P01015,Household Appliances
SIGNATURE,Signatureglobal (India) Limited,INE903U01023,Residential Commercial Projects
ZEEL,Zee Entertainment Enterprises Limited,INE256A01028,TV Broadcasting & Software Production
ARE&M,Amara Raja Energy & Mobility Limited,INE885A01032,Auto Components & Equipments
JYOTHYLAB,Jyothy Labs Limited,INE668F01031,Household Products
