symbol,name,isin,industry
M&M,Mahindra & Mahindra Limited,INE101A01026,Passenger Cars & Utility Vehicles
ZOMATO,Zomato Limited,INE758T01015,E-Retail/ E-Commerce
PNB,Punjab National Bank,INE160A01022,Public Sector Bank
ONGC,Oil & Natural Gas Corporation Limited,INE213A01029,Oil Exploration & Production
ADANIGREEN,Adani Green Energy Limited,INE364U01010,Power Generation
IOC,Indian Oil Corporation Limited,INE242A01010,Refineries & Marketing
NHPC,NHPC Limited,INE848E01016,Power Generation
DMART,Avenue Supermarts Limited,INE192R01011,Diversified Retail
VBL,Varun Beverages Limited,INE200M01039,Other Beverages
IRCTC,Indian Railway Catering And Tourism Corporation Limited,INE335Y01020,Tour Travel Related Services
ADANIPORTS,Adani Ports and Special Economic Zone Limited,INE742F01042,Port & Port services
CANBK,Canara Bank,INE476A01022,Public Sector Bank
BEL,Bharat Electronics Limited,INE263A01024,Aerospace & Defense
JIOFIN,Jio Financial Services Limited,INE758E01017,Non Banking Financial Company (NBFC)
BHEL,Bharat Heavy Electricals Limited,INE257A01026,Heavy Electrical Equipment
IRFC,Indian Railway Finance Corporation Limited,INE053F01010,Financial Institution
SHREECEM,SHREE CEMENT LIMITED,INE070A01015,Cement & Cement Products
PFC,Power Finance Corporation Limited,INE134E01011,Financial Institution
TATAMOTORS,Tata Motors Limited,INE155A01022,Passenger Cars & Utility Vehicles
TATAPOWER,Tata Power Company Limited,INE245A01021,Integrated Power Utilities
TITAN,Titan Company Limited,INE280A01028,Gems Jewellery And Watches
HAL,Hindustan Aeronautics Limited,INE066F01020,Aerospace & Defense
BAJAJHLDNG,Bajaj Holdings & Investment Limited,INE118A01012,Holding Company
JINDALSTEL,Jindal Steel & Power Limited,INE749A01030,Iron & Steel
BANKBARODA,Bank of Baroda,INE028A01039,Public Sector Bank
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,INE121A01024,Non Banking Financial Company (NBFC)
NESTLEIND,Nestle India Limited,INE239A01024,Packaged Foods
EICHERMOT,Eicher Motors Limited,INE066A01021,2/3 Wheelers
NTPC,NTPC Limited,INE733E01010,Power Generation
VEDL,Vedanta Limited,INE205A01025,Diversified Metals
HINDALCO,Hindalco Industries Limited,INE038A01020,Aluminium
AXISBANK,Axis Bank Limited,INE238A01034,Private Sector Bank
RECLTD,REC Limited,INE020B01018,Financial Institution
MOTHERSON,Samvardhana Motherson International Limited,INE775A01035,Auto Components & Equipments
LICI,Life Insurance Corporation Of India,INE0J1Y01017,Life Insurance
TATASTEEL,Tata Steel Limited,INE081A01020,Iron & Steel
SBILIFE,SBI Life Insurance Company Limited,INE123W01016,Life Insurance
ADANIPOWER,Adani Power Limited,INE814H01011,Integrated Power Utilities
INDUSINDBK,IndusInd Bank Limited,INE095A01012,Private Sector Bank
BPCL,Bharat Petroleum Corporation Limited,INE029A01011,Refineries & Marketing
HEROMOTOCO,Hero MotoCorp Limited,INE158A01026,2/3 Wheelers
KOTAKBANK,Kotak Mahindra Bank Limited,INE237A01028,Private Sector Bank
SUNPHARMA,Sun Pharmaceutical Industries Limited,INE044A01036,Pharmaceuticals
HAVELLS,Havells India Limited,INE176B01034,Consumer Electronics
TVSMOTOR,TVS Motor Company Limited,INE494B01023,2/3 Wheelers
JSWENERGY,JSW Energy Limited,INE121E01018,Power Generation
COALINDIA,Coal India Limited,INE522F01014,Coal
UNIONBANK,Union Bank of India,INE692A01016,Public Sector Bank
CIPLA,Cipla Limited,INE059A01026,Pharmaceuticals
BAJAJFINSV,Bajaj Finserv Limited,INE918I01026,Holding Company
DABUR,Dabur India Limited,INE016A01026,Personal Care
RELIANCE,Reliance Industries Limited,INE002A01018,Refineries & Marketing
