symbol,companyName,isin,industry
PPLPHARMA,Piramal Pharma Limited,INE0DK501011,Pharmaceuticals
CCL,CCL Products (India) Limited,INE421D01022,Tea & Coffee
JUBLINGREA,Jubilant Ingrevia Limited,INE0BY001018,Specialty Chemicals
MAZDOCK,Mazagon Dock Shipbuilders Limited,INE249Z01012,Ship Building & Allied Services
INDIGOPNTS,Indigo Paints Limited,INE09VQ01012,Paints
KNRCON,KNR Constructions Limited,INE634I01029,Civil Construction
BEML,BEML Limited,INE258A01016,Construction Vehicles
JAIBALAJI,Jai Balaji Industries Limited,INE091G01018,Iron & Steel
PNBHOUSING,PNB Housing Finance Limited,INE572E01012,Housing Finance Company
KAJARIACER,Kajaria Ceramics Limited,INE217B01036,Ceramics
BLS,BLS International Services Limited,INE153T01027,Tour Travel Related Services
AETHER,Aether Industries Limited,INE0BWX01014,Specialty Chemicals
JMFINANCIL,JM Financial Limited,INE780C01023,Holding Company
FDC,FDC Limited,INE258B01022,Pharmaceuticals
PRSMJOHNSN,Prism Johnson Limited,INE010A01011,Cement & Cement Products
GLS,Glenmark Life Sciences Limited,INE03Q201024,Pharmaceuticals
RTNINDIA,RattanIndia Enterprises Limited,INE834M01019,E-Retail/ E-Commerce
SUVENPHAR,Suven Pharmaceuticals Limited,INE03QK01018,Pharmaceuticals
BERGEPAINT,Berger Paints (I) Limited,INE463A01038,Paints
NSLNISP,NMDC Steel Limited,INE0NNS01018,Iron & Steel
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,INE501A01019,Commodity Chemicals
ASAHIINDIA,Asahi India Glass Limited,INE439A01020,Auto Components & Equipments
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,INE149A01033,Investment Company
APLLTD,Alembic Pharmaceuticals Limited,INE901L01018,Pharmaceuticals
HINDPETRO,Hindustan Petroleum Corporation Limited,INE169701013,Refineries & Marketing
CRAFTSMAN,Craftsman Automation Limited,INE00LO01017,Auto Components & Equipments
BBTC,Bombay Burmah Trading Corporation Limited,INE050A01025,Packaged Foods
LXCHEM,Laxmi Organic Industries Limited,INE576O01020,Specialty Chemicals
METROBRAND,Metro Brands Limited,INE317I01021,Footwear
GRANULES,Granules India Limited,INE101D01020,Pharmaceuticals
CERA,Cera Sanitaryware Limited,INE739E01017,Sanitary Ware
ASIANPAINT,Asian Paints Limited,INE021A01026,Paints
SPARC,Sun Pharma Advanced Research Company Limited,IN9232I01012,Pharmaceuticals
SWSOLAR,Sterling and Wilson Renewable Energy Limited,INE00M201021,Civil Construction
INDIAMART,Indiamart Intermesh Limited,INE933S01016,Internet & Catalogue Retail
ALKYLAMINE,Alkyl Amines Chemicals Limited,INE150B01039,Specialty Chemicals
